property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
flat,godrej nature plus,sector 33,1.4,15124.0,925.6810367627612,Super Built up area 145Carpet area: 86 sq.m.,3.0,2.0,3+,20.0,,New Property,145.0,,86.0,0.0,0.0,0.0,0.0,0.0,1,70,308.56034558758705
flat,bestech altura,sector 79,2.55,9532.0,2675.1993285774233,Built Up area: 2675 (248.52 sq.m.),4.0,5.0,2,4.0,East,New Property,,2675.0,,0.0,1.0,0.0,0.0,0.0,1,44,668.7998321443558
flat,m3m golfestate,sector 65,13.2,12000.0,11000.0,Carpet area: 11000 (1021.93 sq.m.),4.0,4.0,3,13.0,North,Moderately Old,,,11000.0,0.0,1.0,0.0,0.0,0.0,1,60,2750.0
flat,smartworld 1dxp,sector 113,2.75,10589.0,2597.0346586079895,Carpet area: 2597 (241.27 sq.m.),4.0,4.0,3+,20.0,East,Under Construction,,,2597.0,1.0,1.0,0.0,1.0,0.0,2,57,649.2586646519974
flat,bestech park view spa next,sector 67,2.35,12144.0,1935.1119894598155,Super Built up area 1935(179.77 sq.m.),3.0,4.0,3+,14.0,South-West,Moderately Old,1935.0,,,0.0,1.0,0.0,0.0,0.0,0,156,645.0373298199385
flat,signature global park,sohna road,0.54,6506.0,830.0030740854596,Carpet area: 830 (77.11 sq.m.),2.0,2.0,1,2.0,,Relatively New,,,830.0,0.0,0.0,0.0,0.0,0.0,1,16,415.0015370427298
flat,mapsko mount ville,sector 79,1.3,8024.0,1620.1395812562314,Super Built up area 1620(150.5 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3.0,3.0,3+,1.0,North-East,Relatively New,1620.0,,863.91,0.0,0.0,0.0,0.0,0.0,0,140,540.0465270854105
flat,today callidora,sector 73,0.9,5548.0,1622.2062004325885,Built Up area: 1622 (150.69 sq.m.),3.0,3.0,3,3.0,East,Under Construction,,1622.0,,0.0,1.0,0.0,0.0,0.0,1,63,540.7354001441962
flat,chd avenue,sector 71,1.1,6104.0,1802.096985583224,Super Built up area 1802(167.41 sq.m.),3.0,4.0,3,3.0,South,Moderately Old,1802.0,,,0.0,1.0,0.0,0.0,0.0,1,26,600.698995194408
house,dlf city plots phase 2,sector 25,6.5,33592.0,1935.0,Plot area 215(179.77 sq.m.),3.0,9.0,3+,3.0,West,Old Property,,1935.0,,1.0,1.0,1.0,1.0,0.0,0,142,645.0
