property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,shree vardhman victoria,sector 70,1.1,8461.0,2.0,2.0,2,8.0,Relatively New,1444.0,0.0,0.0,0.0,0.0,0.0,1,101
flat,la vida by tata housing,sector 113,3.35,16750.0,3.0,4.0,3+,12.0,New Property,2200.0,1.0,1.0,0.0,0.0,0.0,1,174
flat,dlf new town heights,sector 90,1.9,6967.0,4.0,4.0,3+,19.0,Relatively New,2512.0,0.0,1.0,1.0,0.0,0.0,0,174
flat,vatika the seven lamps,sector 82,1.6,6597.0,4.0,5.0,3+,8.0,Relatively New,2195.0,0.0,1.0,0.0,0.0,0.0,1,133
house,independent,sector 36,0.66,7166.0,2.0,2.0,3,4.0,New Property,823.0,0.0,0.0,0.0,0.0,0.0,1,0
house,independent,sector 12,1.35,12217.0,2.0,5.0,1,3.0,Old Property,2052.0,0.0,0.0,0.0,0.0,0.0,1,31
flat,parsvnath exotica,sector 53,4.8,16580.0,3.0,4.0,3+,8.0,Relatively New,2500.0,0.0,1.0,0.0,1.0,1.0,0,174
flat,pivotal devaan,sector 84,0.27,7964.0,1.0,1.0,1,13.0,Relatively New,387.0,0.0,0.0,0.0,0.0,0.0,2,45
flat,godrej nature plus,sector 33,1.25,9025.0,2.0,2.0,3,17.0,Under Construction,1385.0,0.0,0.0,0.0,0.0,0.0,1,56
flat,pareena mi casa,sector 68,1.7,8500.0,4.0,4.0,3+,23.0,New Property,1809.0,0.0,0.0,0.0,0.0,0.0,1,88
house,jacob pura,sector 12,0.35,9722.0,2.0,1.0,0,2.0,Old Property,360.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,bestech park view sanskruti,sector 92,1.68,11052.0,3.0,4.0,3+,15.0,Relatively New,1804.0,0.0,1.0,0.0,0.0,0.0,0,174
flat,paras dews,sector 106,1.1,9734.0,3.0,4.0,3+,8.0,Relatively New,1186.0,0.0,1.0,0.0,0.0,0.0,0,174
flat,ramsons kshitij,sector 95,0.4,5839.0,3.0,2.0,2,6.0,New Property,761.0,0.0,0.0,0.0,0.0,0.0,1,0
house,independent,sector 25,4.45,32963.0,4.0,3.0,3+,2.0,Moderately Old,1350.0,0.0,0.0,1.0,0.0,0.0,1,79
house,independent,sohna road road,0.5,5556.0,2.0,1.0,2,1.0,Moderately Old,900.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,dlf the ultima,sector 81,2.28,10841.0,3.0,3.0,3+,14.0,Relatively New,1750.0,0.0,1.0,0.0,0.0,0.0,2,49
flat,ramson kshitij sec-95 gurugram,sector 95,0.27,2700.0,2.0,2.0,0,1.0,New Property,758.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,ss,sector 85,2.1,7467.0,4.0,4.0,3,2.0,Relatively New,2600.0,0.0,0.0,0.0,0.0,0.0,1,49
flat,shapoorji pallonji joyville gurugram,sector 102,1.35,14754.0,2.0,2.0,2,10.0,Under Construction,828.0,0.0,0.0,0.0,0.0,0.0,1,22
flat,prime habitat,sector 99a,0.32,4657.0,2.0,2.0,1,7.0,Relatively New,601.0,0.0,0.0,0.0,0.0,0.0,1,44
flat,shapoorji pallonji joyville gurugram,sector 102,0.96,10491.0,2.0,2.0,2,10.0,Relatively New,828.0,0.0,0.0,0.0,0.0,0.0,1,132
flat,trisara our homes 3,sohna road,0.36,5980.0,2.0,2.0,1,1.0,New Property,522.0,0.0,0.0,0.0,0.0,0.0,1,45
flat,experion windchants,sector 112,3.75,13383.0,3.0,3.0,2,21.0,Relatively New,2225.56,0.0,1.0,0.0,0.0,0.0,0,159
flat,green homes,sector 52,1.85,7872.0,3.0,3.0,3,7.0,Moderately Old,2127.0,0.0,1.0,0.0,0.0,0.0,1,28
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.0,3.0,3.0,3+,3.0,Relatively New,1650.06777064058,1.0,1.0,0.0,0.0,0.0,0,38
flat,mapsko royale ville,sector 82,1.15,6424.0,3.0,4.0,2,15.0,Relatively New,1620.0,0.0,1.0,0.0,1.0,0.0,0,104
flat,adarsh nagar,sector 12,0.65,6190.0,3.0,3.0,1,1.0,New Property,1167.0,0.0,0.0,0.0,0.0,0.0,0,42
flat,orchid petals,sector 49,2.45,11887.0,3.0,3.0,3,0.0,Relatively New,1865.0,1.0,0.0,0.0,0.0,0.0,1,49
house,independent,sector 26,6.75,27778.0,3.0,3.0,3,2.0,Moderately Old,2430.0,0.0,0.0,0.0,0.0,0.0,1,27
house,independent,sector 4,3.3,14667.0,3.0,3.0,2,1.0,Old Property,2250.0,0.0,0.0,0.0,0.0,0.0,1,34
flat,ireo skyon,sector 60,2.15,23344.0,2.0,3.0,2,5.0,Relatively New,1250.0,0.0,1.0,0.0,0.0,0.0,0,49
flat,ss the leaf,sector 85,1.2,9677.0,2.0,2.0,3+,9.0,Relatively New,1491.0,0.0,0.0,1.0,0.0,0.0,1,148
flat,imperia the esfera,sector 37c,0.85,5386.0,2.0,3.0,3,9.0,Relatively New,1442.0,1.0,0.0,0.0,0.0,0.0,1,49
flat,aardhya homesh,sector 67a,1.85,8043.0,4.0,4.0,0,4.0,New Property,2556.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,rof ananda,sector 95,0.2,5599.0,1.0,1.0,1,2.0,Relatively New,407.0,0.0,0.0,0.0,1.0,0.0,1,53
flat,satya element one,sector 49,0.87,19333.0,1.0,1.0,1,2.0,Relatively New,500.0,0.0,0.0,0.0,0.0,0.0,1,22
flat,sidhartha ncr greens,sector 95,0.96,6201.0,3.0,3.0,3,8.0,New Property,1720.0,0.0,0.0,1.0,1.0,0.0,1,8
flat,m3m woodshire,sector 107,0.8,5856.0,2.0,2.0,3+,7.0,Relatively New,1236.0,0.0,0.0,0.0,0.0,0.0,0,165
house,independent,sector 47,4.6,26620.0,2.0,6.0,3+,4.0,Moderately Old,1728.0,0.0,0.0,0.0,0.0,0.0,2,51
flat,smart world gems,sector 89,1.13,8500.0,3.0,3.0,2,4.0,Under Construction,1473.0,1.0,0.0,0.0,0.0,0.0,1,115
flat,raheja sampada,sector 92,0.7,4453.0,3.0,3.0,0,7.0,Relatively New,1572.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,dlf new town heights,sector 86,1.3,6735.0,3.0,3.0,3,12.0,Moderately Old,1747.0,0.0,1.0,0.0,1.0,0.0,1,106
house,independent,sector 26,5.8,32222.0,4.0,3.0,2,2.0,Relatively New,1800.0,0.0,0.0,1.0,0.0,0.0,1,21
flat,m3m latitude,sector 65,4.7,19747.0,3.0,3.0,3+,9.0,Relatively New,2380.108370891781,0.0,1.0,0.0,1.0,0.0,0,44
flat,unitech uniworld gardens,sector 47,2.4,11505.0,3.0,4.0,3+,10.0,Moderately Old,1916.0,0.0,1.0,0.0,0.0,0.0,1,103
flat,conscient heritage max,sector 102,2.15,10004.0,3.0,4.0,3+,18.0,Relatively New,1945.0,1.0,1.0,0.0,0.0,0.0,0,134
flat,ss the leaf,sector 85,1.2,7317.0,2.0,2.0,3,6.0,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,0,174
flat,tulip violet,sector 69,1.4,9102.0,3.0,3.0,1,12.0,Relatively New,1392.0,0.0,0.0,0.0,0.0,0.0,0,157
flat,m3m sierra 68,sector 68,1.1,8986.0,2.0,2.0,3,1.0,Relatively New,1150.0,0.0,0.0,0.0,0.0,0.0,0,127
flat,m3m merlin,sector 67,3.5,14843.0,3.0,4.0,3+,15.0,Relatively New,2134.0,0.0,1.0,0.0,0.0,0.0,0,158
